#,result,kills,deaths,assists,duration,summoner,region,puuid
57,Victory,10,6,10,24m 58s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
58,Defeat,7,8,19,32m 19s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
59,Victory,2,3,6,20m 04s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
60,Victory,3,3,7,26m 18s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
61,Victory,13,9,7,37m 51s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
62,Victory,8,5,4,24m 25s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
63,Victory,9,9,11,38m 17s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
64,Defeat,4,5,7,26m 45s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
65,Victory,20,1,6,26m 41s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
66,Defeat,8,7,1,22m 45s,G2%20Caps-1323,EUW,05iiDP3EP4fOeMT9Qx9iAjFvI1WwMwHt1Iv6cDIlSQCyxoPRX1fKFaR6fCFEat3xG2EPnt9-i8jGYA
