#,result,kills,deaths,assists,duration,summoner,region,puuid
58,Victory,7,2,13,32m 35s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
59,Victory,5,0,0,15m 29s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
60,Victory,2,6,18,27m 38s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
61,Defeat,6,7,13,33m 49s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
62,Defeat,0,9,5,23m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
63,Defeat,3,6,4,22m 58s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
64,Victory,8,6,20,34m 33s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
65,Victory,5,7,24,30m 52s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
66,Defeat,2,10,7,29m 21s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
67,Defeat,10,8,11,32m 09s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
68,Defeat,2,8,7,26m 30s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
69,Defeat,9,10,8,42m 14s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
70,Defeat,6,8,10,27m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
71,Defeat,2,11,2,29m 34s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
72,Defeat,6,7,9,34m 38s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
73,Defeat,1,3,0,15m 14s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
74,Defeat,0,6,9,31m 09s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
75,Defeat,2,7,3,28m 01s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
76,Victory,3,8,10,27m 47s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
77,Defeat,8,5,7,30m 05s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
78,Defeat,8,11,5,23m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
79,Defeat,7,10,3,27m 14s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
80,Victory,13,0,4,22m 08s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
81,Victory,13,4,6,26m 23s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
82,Defeat,2,8,11,29m 44s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
83,Victory,10,4,15,25m 35s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
84,Victory,9,6,26,30m 52s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
85,Defeat,3,3,5,42m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
86,Defeat,3,5,13,29m 21s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
87,Defeat,6,4,10,29m 05s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
88,Defeat,0,3,1,21m 01s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
89,Victory,4,2,10,23m 02s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
90,Victory,7,6,8,25m 45s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
91,Victory,9,0,10,25m 31s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
92,Defeat,2,6,4,28m 50s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
93,Defeat,2,7,18,32m 08s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
94,Victory,13,6,17,32m 17s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
95,Victory,9,3,11,28m 46s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
96,Victory,6,2,2,18m 33s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
97,Defeat,5,8,9,30m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
98,Victory,8,0,18,26m 31s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
99,Victory,7,2,8,25m 21s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
100,Victory,5,5,8,21m 09s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
101,Victory,7,1,5,16m 02s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
102,Defeat,13,1,17,46m 28s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
103,Defeat,1,2,4,30m 51s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
104,Victory,11,1,3,28m 14s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
105,Defeat,9,3,9,28m 15s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
106,Victory,4,6,13,30m 23s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
107,Victory,6,5,16,21m 42s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
108,Victory,9,7,17,30m 33s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
109,Victory,3,3,5,19m 52s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
110,Victory,8,8,13,33m 57s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
111,Victory,4,4,7,23m 39s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
112,Defeat,2,6,1,22m 29s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
113,Defeat,9,9,17,38m 15s,Azzapp-31415,EUW,H_ZjXc9sstX-3hUvs97BYR3AVKg3wH3VxAyU5QN0H_lfzF2_qkA4kuXi-_rEJKQrAxEZkiCT7ePLDQ
